"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","51/1152","481/18870",8.67067276187998e-05,0.00390251932737177,0.00307075326782196,"TNFRSF1B/PADI2/SUSD4/WNT4/SEMA4A/GPR17/FAP/IL20RB/SEMA3B/ROBO1/FGB/FGA/FGG/PTGER4/PLK2/HAVCR2/EDN1/TREM2/MICB/NT5E/SEMA3A/SERPINE1/CNTNAP2/TRIB1/PLAT/SYK/KLF4/NOTCH1/C5/HSPA8/CARD16/NRP1/ALOX5/PTPRO/OAS1/MVK/LRFN5/THBS1/NEO1/RORA/ANXA2/SEMA7A/NOD2/RTN4RL1/C1QTNF1/WNT3/SERPINB2/PTGIS/LDLR/CEACAM1/PDGFB",51
"GO:1990845","GO:1990845","adaptive thermogenesis","24/1152","168/18870",8.76277779704456e-05,0.00391164654776268,0.00307793515200763,"ACADL/PER2/IL15/ELOVL6/NPR3/GJA1/CD36/CAV1/ACHE/ALDH1A1/GADD45G/SYK/LCN2/NOTCH1/TLR4/SORL1/UCP2/SCD/PWWP2B/TRPV4/DDIT3/FOXC2/YBX2/FGF21",24
"GO:0032496","GO:0032496","response to lipopolysaccharide","40/1152","348/18870",8.91500505787678e-05,0.0039472453288778,0.00310594656316785,"TNFRSF1B/TNFSF4/IL24/PDE4B/S100A8/S100A7/CMPK2/IL1A/HPGD/TLR2/SPON2/PTGER4/HAVCR2/EDN1/TREM2/AKAP12/CNR1/SERPINE1/CD36/LDOC1/TRIB1/ABCA1/NOTCH1/ASS1/CD274/PDCD1LG2/TLR4/CARD16/ANKRD1/GJB2/GJB6/PTGER2/CYP1A1/NOD2/MAP2K3/CSF3/PLSCR3/PPM1E/PTGIR/AXL",40
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","37/1152","313/18870",9.06470782297565e-05,0.00398116119386495,0.00313263374765143,"ATF3/S100A7/NTRK1/FN1/MARCO/GPBAR1/IL1A/KDR/FGB/FGA/FGG/FGFR3/CD74/HAVCR2/TREM2/AKAP12/CCN2/GCNT2/CD36/RPS6KA6/ANGPT1/DUSP4/SYK/NOTCH1/TLR4/NRP1/TRPV4/SPRY2/BMP4/SEMA7A/NOD2/GAREM1/BMP2/FGF21/CEACAM1/PDGFB/TIMP3",37
"GO:0016053","GO:0016053","organic acid biosynthetic process","39/1152","337/18870",9.39044105183001e-05,0.00402780666824045,0.00316933740773661,"CTH/FMO3/GSTM1/ACADL/THNSL2/KYNU/PER2/MGLL/ELOVL6/ELOVL7/BHMT2/BHMT/CD74/EDN1/ASNS/INSIG1/PYCR3/ALDH1A1/SYK/ASS1/FADS2/AKR1C3/SCD/ALOX5/ALOX5AP/CYP46A1/SLC27A2/CYP1A1/PLA2G4F/FA2H/ALOX12B/GGT6/FASN/DSEL/ACSS2/PTGIS/TRIB3/CEACAM1/GGT5",39
"GO:0002040","GO:0002040","sprouting angiogenesis","26/1152","190/18870",9.43689739131763e-05,0.00402780666824045,0.00316933740773661,"PIK3R3/ADAMTS9/ROBO1/GATA2/VEGFC/FGFBP1/KDR/PLK2/SRPX2/LOXL2/ANGPT1/KLF4/NOTCH1/NRP1/ALOX5/STARD13/BMP4/THBS1/DLL4/FOXC2/NGFR/CCBE1/PPP1R16B/CEACAM1/FUT1/HMOX1",26
"GO:0017157","GO:0017157","regulation of exocytosis","26/1152","190/18870",9.43689739131763e-05,0.00402780666824045,0.00316933740773661,"RAB3B/S100A10/RAPGEF4/WNT7A/GATA2/FGB/FGA/FGG/HTR1B/PRKN/SYN1/RIMS2/SYK/NOTCH1/SYT7/SYT12/LRRK2/ANXA2/DOC2A/ITGAM/UNC13D/HAP1/KCNB1/ATP9A/CEACAM1/ITGB2",26
"GO:0006887","GO:0006887","exocytosis","40/1152","349/18870",9.49120527836452e-05,0.00402780666824045,0.00316933740773661,"RAB3B/S100A10/SYTL1/RAPGEF4/ABCA12/PLEK/WNT7A/GATA2/FGB/FGA/FGG/HTR1B/PRKN/SCIN/SYTL5/SYN1/ANK1/RIMS2/SYK/NOTCH1/SYT7/SYT12/SYTL2/GPR15LG/LRRK2/LIN7A/ANXA2/DOC2A/ITGAM/CORO1A/ARHGAP44/UNC13D/SRCIN1/HAP1/KCNB1/ATP9A/LIN7B/CEACAM1/UNC13A/ITGB2",40
"GO:0001704","GO:0001704","formation of primary germ layer","20/1152","128/18870",9.54070988253798e-05,0.00402780666824045,0.00316933740773661,"TBX19/COL5A2/FN1/COL8A1/GJA1/COL12A1/NR0B1/EYA1/DUSP4/KLF4/DKK1/DUSP5/HMGA2/COL4A2/BMP4/FOXC2/NOG/WNT3/BMP7/ITGB2",20
"GO:0050808","GO:0050808","synapse organization","51/1152","483/18870",9.62892308794068e-05,0.00403377808745576,0.00317403610453494,"LRP8/NEGR1/SEMA4A/NTRK1/DNER/WNT7A/EPHB3/SLC7A11/TLR2/TREM2/ACTB/ACHE/NRCAM/NLGN4X/RAB39B/SYN1/SRPX2/GPC4/FGF13/NEFL/HMCN2/BDNF/VSTM5/HSPA8/PPFIBP2/NRP1/DKK1/SRGN/NEURL1/ARHGAP22/PTPRO/AMIGO2/LRRK2/TUBA1A/POU4F1/SLITRK6/COL4A1/CBLN3/LRFN5/SPTB/FLRT2/ITGAM/ARHGAP44/SEZ6/SRCIN1/CDH2/UNC13A/KLK8/NLGN4Y/LARGE1/SHANK3",51
"GO:0032722","GO:0032722","positive regulation of chemokine production","14/1152","72/18870",9.84293545321356e-05,0.00409195621971,0.00321981440177038,"TNFSF4/IL1RL1/TLR2/EGR1/CD74/TSLP/HAVCR2/SYK/C5/TLR4/TRPV4/OAS1/NOD2/HMOX1",14
"GO:0030500","GO:0030500","regulation of bone mineralization","15/1152","81/18870",0.000100709915537339,0.00415504696982082,0.00326945826277916,"WNT4/DDR2/OSR1/SLC8A1/BMPR1B/ADGRV1/FBN2/PTN/GPM6B/SRGN/ALOX5/BMP4/SOX9/BMP2/BMP7",15
"GO:0036293","GO:0036293","response to decreased oxygen levels","37/1152","315/18870",0.000103468875121787,0.00423538060007975,0.00333266993117588,"TGFB2/DDR2/ENO1/IL1A/TFRC/VEGFC/TLR2/EGR1/EDN1/TREM2/CITED2/CAV1/STC1/LOXL2/PLAT/NOTCH1/AQP3/UCP2/KCNJ11/STOX1/ADAM8/PDLIM1/TRPV4/THBS1/RORA/ARNT2/CYP1A1/HSD11B2/CYGB/BMP2/PTGIS/BMP7/ANGPTL4/RYR1/HIF3A/HMOX1/MB",37
"GO:0002573","GO:0002573","myeloid leukocyte differentiation","30/1152","235/18870",0.000104212449579634,0.00423538060007975,0.00333266993117588,"INPP5D/ERFE/IL1RL1/HCLS1/GATA2/TFRC/IL15/TLR2/CAMK4/CD74/IL31RA/TREM2/CITED2/SNX10/TRIB1/TLR4/UCP2/IRF7/POU4F1/BMP4/ANXA2/MT1G/CSF3/FASN/BMP2/ZBTB46/MAFB/CEACAM1/CEBPA/LARGE1",30
"GO:0090132","GO:0090132","epithelium migration","42/1152","375/18870",0.000107986084627893,0.0043171277949999,0.003396993883187,"TGFB2/SEMA4A/PIK3R3/S100A12/FAP/WNT7A/HYAL1/ADAMTS9/ROBO1/GATA2/VEGFC/FGFBP1/KDR/S100P/PLK2/HBEGF/EDN1/PTN/PRKX/SRPX2/TMSB4X/STC1/LOXL2/GRHL2/PTP4A3/ANGPT1/KLF4/NOTCH1/NRP1/STARD13/THBS1/DLL4/FOXC2/CORO1A/MAP2K3/SOX9/KRT16/CCBE1/CEACAM1/FUT1/PDGFB/HMOX1",42
"GO:0030225","GO:0030225","macrophage differentiation","13/1152","64/18870",0.000108602002922326,0.0043171277949999,0.003396993883187,"IL1RL1/HCLS1/GATA2/IL15/TLR2/IL31RA/TRIB1/TLR4/UCP2/BMP4/ZBTB46/CEBPA/LARGE1",13
"GO:1904036","GO:1904036","negative regulation of epithelial cell apoptotic process","13/1152","64/18870",0.000108602002922326,0.0043171277949999,0.003396993883187,"GATA2/BTC/KDR/FGB/FGA/FGG/NKX2-5/SERPINE1/ANGPT1/NUPR1/SERPINB13/FGF21/ANGPTL4",13
"GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","22/1152","150/18870",0.000114787631215522,0.00445926091515836,0.00350883336598753,"ACADL/PER2/IL15/ELOVL6/NPR3/GJA1/CD36/CAV1/ACHE/ALDH1A1/GADD45G/SYK/LCN2/NOTCH1/TLR4/UCP2/SCD/PWWP2B/DDIT3/FOXC2/YBX2/FGF21",22
"GO:0002067","GO:0002067","glandular epithelial cell differentiation","14/1152","73/18870",0.000115035923121849,0.00445926091515836,0.00350883336598753,"WNT4/GATA2/IL31RA/AGR2/CAV1/BHLHA15/KLF4/NOTCH1/LHX3/BMP4/SOX9/FASN/CDH2/BMP2",14
"GO:0045109","GO:0045109","intermediate filament organization","14/1152","73/18870",0.000115035923121849,0.00445926091515836,0.00350883336598753,"PKP1/KLHL24/NEFL/KRT4/KRT78/KRT80/KRT6B/PKP2/KRT23/KRT34/KRT13/KRT15/KRT9/KRT16",14
"GO:0001819","GO:0001819","positive regulation of cytokine production","52/1152","499/18870",0.000115452770664218,0.00445926091515836,0.00350883336598753,"F3/TNFSF4/TLR5/DENND1B/PDE4B/IL1RL2/IL1RL1/RSAD2/IL1A/IL20RB/IL15/TLR2/EREG/SPON2/PTGER4/EGR1/CD74/TSLP/HAVCR2/TREM2/AKAP12/HSPA1A/HSPA1B/GPSM3/SERPINE1/CD36/IRF5/SYK/CD274/C5/TLR4/SORL1/IRF7/ADAM8/PRKCQ/TRPV4/LRRK2/OAS1/OAS2/DDIT3/HSP90AA1/THBS1/RORA/SEMA7A/GPRC5B/NOD2/NLRP1/CCBE1/PLCB1/EBI3/CEBPG/HMOX1",52
"GO:0014032","GO:0014032","neural crest cell development","15/1152","82/18870",0.000116401281475506,0.00446423506278596,0.00351274734534311,"SEMA4A/FN1/SEMA3B/PITX2/ANXA6/EDN1/CITED2/SEMA3A/NRP1/BMP4/SEMA7A/FOXC2/SOX9/CDH2/BMP7",15
"GO:0106106","GO:0106106","cold-induced thermogenesis","22/1152","151/18870",0.000126770062114636,0.00482790040752662,0.00379890263429284,"ACADL/PER2/IL15/ELOVL6/NPR3/GJA1/CD36/CAV1/ACHE/ALDH1A1/GADD45G/SYK/LCN2/NOTCH1/TLR4/UCP2/SCD/PWWP2B/DDIT3/FOXC2/YBX2/FGF21",22
"GO:0060840","GO:0060840","artery development","18/1152","111/18870",0.000129327592117509,0.00489109768522189,0.00384863031805831,"TGFB2/APOB/ADAMTS9/ROBO1/HPGD/EDN1/CITED2/EYA1/NOTCH1/PDE2A/NRP1/DDIT3/BMP4/DLL4/FOXC2/NGFR/NOG/LDLR",18
"GO:0031098","GO:0031098","stress-activated protein kinase signaling cascade","30/1152","238/18870",0.0001311415015363,0.00492549391287373,0.00387569548278968,"TGFB2/XDH/IL1A/WNT7A/TNIK/MAPK10/PTGER4/UNC5CL/TREM2/CCN2/PRKN/SEMA3A/STK26/ARHGEF6/MID1/TRIB1/GDF6/GADD45G/TLR4/TRPV4/LRRK2/BMP4/NOD2/MAP2K3/NLRP1/BMP2/PLCB1/GADD45B/MAP3K10/MAPK8IP2",30
"GO:0030278","GO:0030278","regulation of ossification","19/1152","121/18870",0.000132154436538775,0.00492954151637103,0.00387888039761611,"WNT4/DDR2/DHRS3/OSR1/SLC8A1/BMPR1B/ADGRV1/PTGER4/FBN2/PTN/GPM6B/NOTCH1/DKK1/SRGN/ALOX5/BMP4/SOX9/BMP2/BMP7",19
"GO:0032970","GO:0032970","regulation of actin filament-based process","42/1152","379/18870",0.000136629435711521,0.0050617952849316,0.0039829461710104,"KANK4/ARHGEF10L/S100A10/WNT4/GRHL3/PDE4B/RGS4/TMSB10/IL1A/PLEK/HCLS1/BST1/ANK2/PTGER4/EDN1/CCN2/PRKN/SCIN/FSCN1/CAV1/TMSB4X/FGF13/GPM6B/DLC1/STC1/LPAR1/NRP1/RAPGEF3/PKP2/FZD10/SPTB/HCN4/FHOD1/CORO1A/CSF3/KCNJ2/ARHGAP44/PPM1E/DSC2/CELSR1/BAIAP2L2/SHANK3",42
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","34/1152","285/18870",0.00014398203194789,0.00529206828221465,0.00416413977944137,"S100A12/TRIB2/MAPRE3/SLC8A1/ROBO1/HERC5/EDN1/PKIB/ACTB/PRKAR1B/TRIB1/PKIA/TLR4/SORL1/THY1/CCND1/DKK1/ADAM8/CCND2/HMGA2/LRRK2/FZD10/CCNA1/SPRY2/THBS1/CCNF/NOD2/ERN1/BMP2/TRIB3/RASIP1/MAP3K10/CEBPA/PDGFB",34
"GO:0090130","GO:0090130","tissue migration","42/1152","380/18870",0.000144788500560041,0.00529206828221465,0.00416413977944137,"TGFB2/SEMA4A/PIK3R3/S100A12/FAP/WNT7A/HYAL1/ADAMTS9/ROBO1/GATA2/VEGFC/FGFBP1/KDR/S100P/PLK2/HBEGF/EDN1/PTN/PRKX/SRPX2/TMSB4X/STC1/LOXL2/GRHL2/PTP4A3/ANGPT1/KLF4/NOTCH1/NRP1/STARD13/THBS1/DLL4/FOXC2/CORO1A/MAP2K3/SOX9/KRT16/CCBE1/CEACAM1/FUT1/PDGFB/HMOX1",42
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","31/1152","251/18870",0.00014870656695561,0.00539903975760168,0.00424831181807922,"TGFB2/WNT4/APOB/PLEK/PER2/SLC7A11/MSMO1/HMGCS1/MOXD1/INSIG1/GPR37/ADCYAP1R1/NPC1L1/NSDHL/G6PD/FDFT1/SQLE/TYRP1/RAB38/DHCR7/AKR1C3/IDI1/MVK/DCT/CYP46A1/SLC27A2/MVD/BMP2/SPTLC3/ABCG1/LSS",31
"GO:0002237","GO:0002237","response to molecule of bacterial origin","41/1152","369/18870",0.000154246355380951,0.00556308378413683,0.00437739221161278,"TNFRSF1B/TNFSF4/IL24/PDE4B/S100A8/S100A7/CMPK2/IL1A/HPGD/TLR2/SPON2/PTGER4/HAVCR2/EDN1/TREM2/AKAP12/CNR1/SERPINE1/CD36/IRF5/LDOC1/TRIB1/ABCA1/NOTCH1/ASS1/CD274/PDCD1LG2/TLR4/CARD16/ANKRD1/GJB2/GJB6/PTGER2/CYP1A1/NOD2/MAP2K3/CSF3/PLSCR3/PPM1E/PTGIR/AXL",41
"GO:0051216","GO:0051216","cartilage development","27/1152","207/18870",0.000158282914824906,0.00561275565961392,0.00441647723878236,"OSR1/MATN3/EFEMP1/WNT7A/HYAL1/BMPR1B/FGFR3/ADAMTS12/SLC26A2/ANXA6/EDN1/CCN2/SCIN/TIMP1/STC1/LOXL2/GDF6/BARX2/TRPV4/PTHLH/HMGA2/BMP4/SOX9/NOG/BMP2/BMP7/CHADL",27
"GO:0003158","GO:0003158","endothelium development","21/1152","143/18870",0.000159701584780767,0.00561275565961392,0.00441647723878236,"XDH/KDR/ADAMTS12/MSN/STC1/NOTCH1/S1PR3/PDE2A/ROBO4/NRP1/RAPGEF3/STARD13/BMP4/DLL4/FOXC2/FZD2/FASN/PPP1R16B/PLCB1/TJP3/CEACAM1",21
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","38/1152","334/18870",0.000163526633902914,0.00561275565961392,0.00441647723878236,"CTH/GSTM1/ACADL/THNSL2/KYNU/PER2/MGLL/ELOVL6/ELOVL7/BHMT2/BHMT/CD74/EDN1/ASNS/INSIG1/PYCR3/ALDH1A1/SYK/ASS1/FADS2/AKR1C3/SCD/ALOX5/ALOX5AP/CYP46A1/SLC27A2/CYP1A1/PLA2G4F/FA2H/ALOX12B/GGT6/FASN/DSEL/ACSS2/PTGIS/TRIB3/CEACAM1/GGT5",38
"GO:0048672","GO:0048672","positive regulation of collateral sprouting","5/1152","10/18870",0.000163568028636303,0.00561275565961392,0.00441647723878236,"NGF/CRABP2/BDNF/RND2/WNT3",5
"GO:0070099","GO:0070099","regulation of chemokine-mediated signaling pathway","5/1152","10/18870",0.000163568028636303,0.00561275565961392,0.00441647723878236,"PADI2/ROBO1/SLIT3/EDN1/TREM2",5
"GO:0010721","GO:0010721","negative regulation of cell development","34/1152","287/18870",0.000164775799827778,0.00561275565961392,0.00441647723878236,"TNFSF4/SEMA4A/TRIM46/DRAXIN/PGLYRP3/INPP5D/ERFE/IL1A/WNT7A/SEMA3B/GATA2/CD74/TREM2/SEMA3A/PTN/FGF13/TRIB1/NOTCH1/S1PR3/TLR4/SORL1/THY1/NRP1/PTHLH/BMP4/SEMA7A/NOG/WNT3/BMP7/ZBTB46/MAFB/LDLR/CEACAM1/CEBPA",34
"GO:0001706","GO:0001706","endoderm formation","12/1152","58/18870",0.000164841291466044,0.00561275565961392,0.00441647723878236,"COL5A2/FN1/COL8A1/COL12A1/NR0B1/DUSP4/DKK1/DUSP5/HMGA2/COL4A2/NOG/ITGB2",12
"GO:0003229","GO:0003229","ventricular cardiac muscle tissue development","12/1152","58/18870",0.000164841291466044,0.00561275565961392,0.00441647723878236,"TGFB2/TNNT2/ADAMTS9/HOPX/NKX2-5/NOTCH1/KCNJ11/PKP2/POU4F1/DLL4/FOXC2/NOG",12
"GO:0030282","GO:0030282","bone mineralization","19/1152","123/18870",0.000164911457220282,0.00561275565961392,0.00441647723878236,"WNT4/DDR2/OSR1/SLC8A1/BMPR1B/FGFR3/ADGRV1/FBN2/SNX10/PTN/GPM6B/TMEM38B/SRGN/ALOX5/PTHLH/BMP4/SOX9/BMP2/BMP7",19
"GO:0002685","GO:0002685","regulation of leukocyte migration","29/1152","230/18870",0.000167627092925117,0.00561275565961392,0.00441647723878236,"PADI2/S100A7/TNFRSF18/PRSS56/IL1A/CHST2/APOD/VEGFC/BST1/PTGER4/CD74/EDN1/TREM2/GPSM3/SERPINE1/PTN/MSN/C5/THY1/ADAM8/GPR15LG/TRPV4/THBS1/DAPK2/CORO1A/NOD2/PLCB1/HMOX1/JAM2",29
"GO:0001503","GO:0001503","ossification","47/1152","444/18870",0.000168132885740205,0.00561275565961392,0.00441647723878236,"WNT4/DDR2/DHRS3/OSR1/COL5A2/ERFE/SLC8A1/VEGFC/BMPR1B/FGFR3/ADAMTS12/VCAN/ADGRV1/PTGER4/SLC26A2/FBN2/CCN2/RIPPLY2/ATP6V0A4/ACHE/IGFBP3/SNX10/PTN/GPM6B/STC1/MMP16/TMEM38B/RORB/NOTCH1/DKK1/SRGN/ALOX5/PTHLH/BMP4/SEMA7A/FOXC2/WWOX/SOX9/FASN/NOG/WNT3/BMP2/BMP7/CYP24A1/RYR1/CEBPA/MN1",47
"GO:0030851","GO:0030851","granulocyte differentiation","10/1152","42/18870",0.000168938622176819,0.00561275565961392,0.00441647723878236,"INPP5D/HCLS1/GATA2/CITED2/TRIB1/CSF3/FASN/ZBTB46/CEACAM1/CEBPA",10
"GO:0097501","GO:0097501","stress response to metal ion","7/1152","21/18870",0.000169021654090467,0.00561275565961392,0.00441647723878236,"MUC2/MT2A/MT1E/MT1M/MT1A/MT1X/MT1G",7
"GO:0051592","GO:0051592","response to calcium ion","21/1152","144/18870",0.000176425195018199,0.00582310067920673,0.00458199023233868,"TNNT2/TRPC3/FGB/FGA/FGG/ADGRV1/EDN1/ADCY1/CAV1/RASA4/RASA4B/AQP3/SYT7/SYT12/AKR1C3/TUBA1A/ALOX5AP/THBS1/CPNE7/KCNB1/RYR1",21
"GO:0043536","GO:0043536","positive regulation of blood vessel endothelial cell migration","14/1152","76/18870",0.000180233799742271,0.00591297152648439,0.00465270639664417,"GATA2/VEGFC/FGFBP1/KDR/PLK2/SRPX2/TMSB4X/ANGPT1/NRP1/THBS1/FOXC2/MAP2K3/PDGFB/HMOX1",14
"GO:0010631","GO:0010631","epithelial cell migration","41/1152","372/18870",0.000183573500210985,0.00598647474340734,0.00471054345640669,"TGFB2/SEMA4A/PIK3R3/S100A12/FAP/WNT7A/HYAL1/ADAMTS9/ROBO1/GATA2/VEGFC/FGFBP1/KDR/S100P/PLK2/HBEGF/EDN1/PTN/PRKX/SRPX2/TMSB4X/STC1/LOXL2/PTP4A3/ANGPT1/KLF4/NOTCH1/NRP1/STARD13/THBS1/DLL4/FOXC2/CORO1A/MAP2K3/SOX9/KRT16/CCBE1/CEACAM1/FUT1/PDGFB/HMOX1",41
"GO:0008361","GO:0008361","regulation of cell size","25/1152","187/18870",0.000185202273650983,0.00600364037085271,0.0047240504763982,"VAV3/NGF/CRABP2/SEMA4A/TRIM46/DRAXIN/FN1/PLEK/SEMA3B/IL7R/PRR16/EDN1/SEMA3A/NRCAM/XK/MSN/FGF13/BDNF/NRP1/TRPV4/HSP90AA1/SEMA7A/RND2/WNT3/SHANK3",25
"GO:0086004","GO:0086004","regulation of cardiac muscle cell contraction","9/1152","35/18870",0.000189938509076574,0.00608473600253542,0.00478786173653704,"PDE4B/ANK2/CAV1/FGF13/STC1/PKP2/HCN4/KCNJ2/DSC2",9
"GO:0110110","GO:0110110","positive regulation of animal organ morphogenesis","9/1152","35/18870",0.000189938509076574,0.00608473600253542,0.00478786173653704,"WNT4/ROBO1/EDN1/DKK1/STOX1/BMP4/NGFR/SOX9/BMP2",9
"GO:0014033","GO:0014033","neural crest cell differentiation","16/1152","95/18870",0.000191860722816161,0.00611037132430886,0.00480803325690731,"SEMA4A/WNT10A/FN1/SEMA3B/PITX2/ANXA6/EDN1/CITED2/SEMA3A/NRP1/BMP4/SEMA7A/FOXC2/SOX9/CDH2/BMP7",16
"GO:0046579","GO:0046579","positive regulation of Ras protein signal transduction","12/1152","59/18870",0.000195578292794061,0.00618182206437571,0.00486425529583731,"NGF/NTRK1/GPR17/ARHGEF3/ROBO1/AUTS2/GPR20/NOTCH1/LPAR1/LPAR6/RASGRF1/ADGRG1",12
"GO:0033674","GO:0033674","positive regulation of kinase activity","38/1152","337/18870",0.000196374443102644,0.00618182206437571,0.00486425529583731,"LRP8/TGFB2/DDR2/S100A12/NTRK1/IRS1/MAPRE3/MERTK/ROBO1/KDR/EREG/FGFR3/EGR1/CD74/EDN1/TREM2/ANGPT1/TNFSF15/TLR4/CCND1/DKK1/STOX1/ADAM8/CCND2/HMGA2/LRRK2/FZD10/HSP90AA1/THBS1/GPRC5B/NOD2/MAP2K3/ERN1/SRCIN1/EEF1A2/AXL/MAP3K10/PDGFB",38
"GO:0051962","GO:0051962","positive regulation of nervous system development","34/1152","290/18870",0.000201035601808528,0.00629218326120253,0.00495109458537517,"TNFRSF1B/LRP8/PLXNA2/NGF/CRABP2/SEMA4A/NTRK1/FN1/WNT7A/EPHB3/ROBO1/VEGFC/TLR2/VCAN/PTN/SRPX2/NEFL/NOTCH1/BDNF/VSTM5/NRP1/NEURL1/AMIGO2/DCT/SLITRK6/FLRT2/SEMA7A/RNF112/RND2/WNT3/HAP1/BMP2/TGM2/SHANK3",34
"GO:0006690","GO:0006690","icosanoid metabolic process","19/1152","125/18870",0.000204590822282446,0.00633965146934287,0.0049884456253155,"GSTM1/MGLL/HPGD/TLR2/CD74/EDN1/FAAH2/SYK/AKR1C3/ALOX5/ALOX5AP/CYP1A1/PLA2G4F/ALOX12B/GGT6/PTGIS/CYP4F12/PLA2G4C/GGT5",19
"GO:0033559","GO:0033559","unsaturated fatty acid metabolic process","18/1152","115/18870",0.000204880400037522,0.00633965146934287,0.0049884456253155,"GSTM1/MGLL/HPGD/ELOVL6/ELOVL7/CD74/EDN1/FAAH2/FADS2/AKR1C3/SCD/ALOX5/CYP1A1/PLA2G4F/ALOX12B/PTGIS/CYP4F12/PLA2G4C",18
"GO:0001894","GO:0001894","tissue homeostasis","33/1152","279/18870",0.000210314960141407,0.00643469254455114,0.00506323005757344,"INPP5D/IL20RB/ILDR1/GATA2/TFRC/ADGRV1/LCA5/GJA1/CCN2/NT5E/GCNT2/AZGP1/ACTB/SNX10/ANGPT1/ALDH1A1/SYK/NOTCH1/TLR4/MUC2/TUB/ADAM8/CDHR1/TUBA1A/GJB6/ESRRB/IGHG3/ZG16B/CORO1A/NOD2/SOX9/TJP3/JAM2",33
"GO:0060249","GO:0060249","anatomical structure homeostasis","33/1152","279/18870",0.000210314960141407,0.00643469254455114,0.00506323005757344,"INPP5D/IL20RB/ILDR1/GATA2/TFRC/ADGRV1/LCA5/GJA1/CCN2/NT5E/GCNT2/AZGP1/ACTB/SNX10/ANGPT1/ALDH1A1/SYK/NOTCH1/TLR4/MUC2/TUB/ADAM8/CDHR1/TUBA1A/GJB6/ESRRB/IGHG3/ZG16B/CORO1A/NOD2/SOX9/TJP3/JAM2",33
"GO:0050770","GO:0050770","regulation of axonogenesis","22/1152","157/18870",0.000224831233633664,0.00684039608027336,0.00538246369963331,"PLXNA2/NGF/CRABP2/SEMA4A/TRIM46/DRAXIN/FN1/WNT7A/EPHB3/SEMA3B/ROBO1/SEMA3A/XK/FGF13/NEFL/BDNF/THY1/NRP1/SEMA7A/RND2/WNT3/CDH2",22
"GO:0042471","GO:0042471","ear morphogenesis","19/1152","126/18870",0.00022739528524325,0.00685024492428171,0.00539021340370544,"GRHL3/KCNQ4/OSR1/TMIE/GATA2/EDN1/INSIG1/EYA1/MYO7A/HMX3/STOX1/SPRY2/SLITRK6/GJB6/FZD2/SOX9/NOG/MAFB/HPN",19
"GO:0050727","GO:0050727","regulation of inflammatory response","45/1152","425/18870",0.000228058776939503,0.00685024492428171,0.00539021340370544,"TNFRSF1B/TNFSF4/S100A12/S100A8/IL1RL2/IL1RL1/GPR17/IL20RB/MGLL/IL15/BST1/TLR2/ADAMTS12/PTGER4/PLK2/TSLP/TREM2/GPSM3/CNR1/NT5E/SERPINE1/TMSB4X/SYK/KLF4/AKNA/TLR4/PDE2A/CARD16/ADAM8/ALOX5/TRPV4/LRRK2/MVK/ALOX5AP/LRFN5/RORA/SEMA7A/NUPR1/GPRC5B/NOD2/NLRP1/PTGIS/LDLR/CEBPA/LGALS1",45
"GO:0002062","GO:0002062","chondrocyte differentiation","18/1152","116/18870",0.000228928493613528,0.00685024492428171,0.00539021340370544,"OSR1/EFEMP1/WNT7A/BMPR1B/FGFR3/ADAMTS12/SLC26A2/ANXA6/CCN2/SCIN/LOXL2/GDF6/PTHLH/HMGA2/BMP4/SOX9/BMP2/CHADL",18
"GO:0003205","GO:0003205","cardiac chamber development","23/1152","168/18870",0.000231951419770177,0.00690277285283269,0.00543154575717222,"TGFB2/TNNT2/DHRS3/ROBO1/NPY2R/ANK2/NKX2-5/SLIT3/CITED2/GRHL2/NOTCH1/PDE2A/NRP1/PKP2/POU4F1/BMP4/DLL4/FOXC2/FZD2/NOG/BMP2/SALL4/BMP7",23
"GO:0061687","GO:0061687","detoxification of inorganic compound","7/1152","22/18870",0.000234898098487921,0.00693447108689568,0.00545648796697766,"MUC2/MT2A/MT1E/MT1M/MT1A/MT1X/MT1G",7
"GO:0006631","GO:0006631","fatty acid metabolic process","43/1152","401/18870",0.00023683650792556,0.00693447108689568,0.00545648796697766,"GSTM1/ACADL/ERFE/THNSL2/IRS1/PER2/MGLL/HPGD/ELOVL6/MSMO1/ELOVL7/CD74/EDN1/ACAT2/CNR1/CD36/INSIG1/CAV1/FAAH2/TYRP1/FADS2/AKR1C3/SCD/ALOX5/ALDH1L2/CRYL1/ALOX5AP/SLC27A2/CYP1A1/PLA2G4F/FA2H/SOX9/ALOX12B/CYGB/FASN/ACSS2/PTGIS/TRIB3/CYP4F12/CEACAM1/PLA2G4C/PNPLA3/GGT5",43
